chrom	start	end	n_snps	fst	genes
SCAF_16	33940000	33941000	4	1	atf6b
SCAF_18	6742000	6743000	5	0.998584890924356	""
SCAF_14	12248000	12249000	4	0.99827760822735	""
SCAF_14	12251000	12252000	5	0.998239067484605	""
SCAF_14	12234000	12235000	4	0.997601074312415	""
SCAF_6	37596000	37597000	3	0.996553479829758	""
SCAF_14	12246000	12247000	4	0.996538026369351	""
SCAF_1	17679000	17680000	3	0.996529281381755	""
SCAF_17	7415000	7416000	3	0.996470822018894	LOC140362518
SCAF_13	21418000	21419000	3	0.996408711649731	""
SCAF_19	6783000	6784000	3	0.996385147206238	cpne5b
SCAF_16	16744000	16745000	3	0.996371705969624	slc66a2
SCAF_14	23818000	23819000	3	0.996063130401254	LOC140359862
SCAF_14	5914000	5915000	10	0.995769263966342	dip2a
SCAF_4	28995000	28996000	4	0.993243601892019	bnc2,sh3gl2a
SCAF_3	402000	403000	4	0.993025661978096	LOC140374196
SCAF_14	12170000	12171000	3	0.992941911955528	LOC140359401
SCAF_3	41268000	41269000	3	0.992911047582754	LOC140374626
SCAF_18	31179000	31180000	4	0.992883830796591	""
SCAF_10	1145000	1146000	3	0.992848630650028	pak4
SCAF_20	18535000	18536000	4	0.992837764259868	sbk1
SCAF_14	12250000	12251000	10	0.992031532988037	""
SCAF_6	11190000	11191000	8	0.991888535372996	LOC140347299
SCAF_15	9250000	9251000	4	0.991351285344049	""
SCAF_5	3033000	3034000	6	0.991331055703992	LOC140381488,LOC140381538
SCAF_14	12169000	12170000	11	0.990972413089008	LOC140359401
SCAF_15	25615000	25616000	4	0.990584104317216	""
SCAF_1	35107000	35108000	6	0.990544618570365	nrxn3b
SCAF_15	2278000	2279000	3	0.990249349828787	LOC140360496
SCAF_19	21490000	21491000	3	0.989937132899925	LOC140365610,nav1b
SCAF_21	3811000	3812000	3	0.989909539268425	plekhh1
SCAF_4	24319000	24320000	4	0.989866339637259	""
SCAF_20	13674000	13675000	5	0.989783824755172	""
SCAF_2	22917000	22918000	3	0.98975219063859	fibcd1b
SCAF_2	9944000	9945000	3	0.989628633049117	LOC140367106
SCAF_1	17703000	17704000	4	0.989504685998991	""
SCAF_2	35478000	35479000	5	0.989480262830707	ppfia2
SCAF_7	29767000	29768000	3	0.989427151203785	cadps2
SCAF_20	18528000	18529000	3	0.989400976757702	sbk1
SCAF_10	26733000	26734000	4	0.989368089026974	aplp2
SCAF_14	17992000	17993000	3	0.989354495528327	LOC140359612
SCAF_22	10630000	10631000	4	0.989260842333212	camk2d1
SCAF_14	29097000	29098000	3	0.989247186623616	LOC140359937
SCAF_15	23417000	23418000	5	0.989208887779636	""
SCAF_17	27424000	27425000	6	0.988162850597184	""
SCAF_14	12233000	12234000	7	0.987523740814874	""
SCAF_4	38519000	38520000	9	0.987432589703305	LOC140377631
SCAF_19	16702000	16703000	3	0.987035469934639	foxp1b
SCAF_19	21477000	21478000	3	0.987025885477665	LOC140365610,nav1b
SCAF_4	28997000	28998000	5	0.986886874049705	bnc2,sh3gl2a
SCAF_2	24630000	24631000	3	0.986850114178541	tmem209
SCAF_19	21102000	21103000	3	0.986832642525422	rplp2,tafa3a
SCAF_4	1316000	1317000	3	0.986823157987801	""
SCAF_14	21174000	21175000	3	0.986781038967549	""
SCAF_11	8848000	8849000	3	0.98670478120027	slbp
SCAF_12	36728000	36729000	3	0.986689696913579	dhx9
SCAF_18	1069000	1070000	3	0.986624613238745	LOC140364283
SCAF_1	2706000	2707000	5	0.986619875711919	LOC140363156
SCAF_19	21140000	21141000	3	0.986567034128035	rplp2
