scafnum	widx	chrom	start	end	mid	fst	var_jk	genes	t	fbin	N_bin	tcrit	outlier
1	0	SCAF_1	32207	1988110	1010158.5	0.618026618779105	0.000644453705388424	LOC140345085,LOC140362933,LOC140352314,LOC140363111,crnkl1,cfap61,LOC140356925,e2f6,LOC140359811,rps7,LOC140362666,xrn2,LOC140369645,cebpz,ndufaf7,LOC140362751,cnksr3,lgals8a,tmem242,znf512,slc30a2,LOC140346139,cad,ift172,LOC140347062,LOC140370675	-0.47667364139972	0.6	145	3.50292622822017	FALSE
1	1	SCAF_1	2001049	2586672	2293860.5	0.625638004711563	0.000787090884285029	galnt14,angel2,vash2,LOC140362760,LOC140381115,LOC140355587,LOC140362766,LOC140362774,LOC140362782	-0.402415518988416	0.6	145	3.50292622822017	FALSE
1	2	SCAF_1	2587234	3478725	3032979.5	0.577416967611375	0.000837995815975548	LOC140362782,LOC140363156,LOC140363162,chga,stx7l,LOC140352315,dpf3,wdr21,LOC140356489,zfyve1,vps18,ino80,dll4	-0.852027926702371	0.55	91	3.36155570775314	FALSE
1	3	SCAF_1	3481983	4712131	4097057	0.72173764425042	0.000577845449833325	fundc1,LOC140357029,LOC140358650,adamts5,adamts1,cyyr1,appa,jam2a,mrpl39,LOC140359033,mbnl2,LOC140363199	0.502027493670152	0.7	270	3.68590298861305	FALSE
1	4	SCAF_1	4717581	5739573	5228577	0.72823101063143	0.000550964120039483	LOC140363199,pard3ba,LOC140359235,LOC140359470,LOC140359691,LOC140363204,cacnb4b,LOC140359757,kpnb3,LOC140362797,creb3l1	0.564070308787877	0.7	270	3.68590298861305	FALSE
1	5	SCAF_1	5761487	7135603	6448545	0.664194676055193	0.00068257646313404	cab39l,LOC140360839,LOC140360960,LOC140361154,LOC140361709,zc3h13,raph1b,LOC140362598,fastkd2,mdh1b,retreg2,LOC140362830,LOC140363135,LOC140363328,bco1l,LOC140365177,LOC140364397,agap1,LOC140364351,LOC140362814,LOC140362823,senp7b,LOC140365254,f2,LOC140363219,LOC140364806,fbxo3,eef1b2,cd59a,LOC140363226	-0.0415859700746759	0.65	223	3.63025993962302	FALSE
1	6	SCAF_1	7143414	8078074	7610744	0.663993898307202	0.000542642338164529	LOC140366634,setdb2,creg1,dnajc27,xdh,LOC140364492,LOC140364501,LOC140367277,sytl3,ezrb,tagapb,ppp2r5a,dtl,ints7,lpgat1,nek2,slc30a1a,rd3,LOC140364527,rhag,capn3b,LOC140368326,ttbk2b,mideasa,LOC140363240,LOC140369238,LOC140363246,apobb.1,pdia6	-0.04374627371061	0.65	223	3.63025993962302	FALSE
1	7	SCAF_1	8152404	9202945	8677674.5	0.767541438887973	0.000303504031314244	LOC140370580,LOC140370157,sobpb,LOC140371098,LOC140370936,LOC140371426,LOC140362886,LOC140371509,aamp,LOC140363256,ical1,LOC140372336,LOC140372450,LOC140372718,dpp4,kcnh7	0.946562547569559	0.75	143	3.49876676547149	FALSE
1	8	SCAF_1	9206289	10306035	9756162	0.762770239727311	0.000520747032058009	kcnh7,LOC140373560,scn1lab,xirp2a,LOC140374165,abcc4,LOC140376589,LOC140376915,gpr137c,nid2a,ptger2a,LOC140377815,LOC140378291	0.892081888557449	0.75	143	3.49876676547149	FALSE
1	9	SCAF_1	10353021	11383275	10868148	0.713134614112463	0.000511682115738284	slitrk6	0.421973498680085	0.7	270	3.68590298861305	FALSE
